Dy,MxT,MnT,AvT,HDDay,AvDP,1HrP,TPcpn,WxType,PDir,AvSp,Dir,MxS,SkyC,MxR,AvSLP
1,88,59,74.0,,53.8,0,.00 F,2,80  9.,6 270,17  1,.6  93,23 10,4.5,
2,79,63,71.0,,46.5,0,.00,3,30  8.,7 340,23  3,.3  70,28 10,4.5,
3,77,55,66.0,,39.6,0,.00,3,50  5.,0 350,9  2,.8  59,24 10,16.8,
4,77,59,68.0,,51.1,0,.00,1,10  9.,1 130,12  8,.6  62,40 10,21.1,
5,90,66,78.0,,68.3,0,.00 TF,H     2,20  8.,3 260,12  6,.9  84,55 10,14.4,
6,81,61,71.0,,63.7,0,.00 RF,H     0,30  6.,2 030,13  9,.7  93,60 10,12.7,
7,73,57,65.0,,53.0,0,.00 RF,0,50  9.,5 050,17  5,.3  90,48 10,21.8,
8,75,54,65.0,,50.0,0,.00 FH,1,60  4.,2 150,10  2,.6  93,41 10,26.3,
9,86,32*,59.0,6.0,61.5,0,.00,2,40  7.,6 220,12  6,.0  78,46 10,18.6,
10,84,64,74.0,,57.5,0,.00 F,2,10  6.,6 050,9  3,.4  84,40 10,19.0,
11,91,59,75.0,,66.3,0,.00 H,2,50  7.,1 230,12  2,.5  93,45 10,12.6,
12,88,73,81.0,,68.7,0,.00 RT,H     2,50  8.,1 270,21  7,.9  94,51 10,7.0,
13,70,59,65.0,,55.0,0,.00 H,1,50  3.,0 150,8 10,.0  83,59 10,12.6,
14,61,59,60.0,5.0,55.9,0,.00 RF,0,60  6.,7 080,9 10,.0  93,87 10,8.6,
15,64,55,60.0,5.0,54.9,0,.00 F,0,40  4.,3 200,7  9,.6  96,70 10,6.1,
16,79,59,69.0,,56.7,0,.00 F,2,50  7.,6 240,21  7,.8  87,44 10,7.0,
17,81,57,69.0,,51.7,0,.00 T,2,60  9.,1 270,29* 5,.2  90,34 10,12.5,
18,82,52,67.0,,52.6,0,.00,2,30  4.,0 190,12  5,.0  93,34 10,21.3,
19,81,61,71.0,,58.9,0,.00 H,2,50  5.,2 230,12  5,.3  87,44 10,28.5,
20,84,57,71.0,,58.9,0,.00 FH,1,50  6.,3 160,13  3,.6  90,43 10,32.5,
21,86,59,73.0,,57.7,0,.00 F,2,40  6.,1 250,12  1,.0  87,35 10,30.7,
22,90,64,77.0,,61.1,0,.00 H,2,50  6.,4 230,9  0,.2  78,38 10,26.4,
23,90,68,79.0,,63.1,0,.00 H,2,40  8.,3 230,12  0,.2  68,42 10,21.3,
24,90,77,84.0,,67.5,0,.00 H,3,50  8.,5 010,14  6,.9  74,48 10,18.2,
25,90,72,81.0,,61.3,0,.00,1,90  4.,9 230,9  5,.6  81,29 10,19.6,
26,97*,64,81.0,,70.4,0,.00 H,0,50  5.,1 200,12  4,.0 107,45 10,14.9,
27,91,72,82.0,,69.7,0,.00 RT,H     2,50 12.,1 230,17  7,.1  90,47 10,9.0,
28,84,68,76.0,,65.6,0,.00 RT,FH    2,80  7.,6 340,16  7,.0 100,51 10,11.0,
29,88,66,77.0,,59.7,0,.00,0,40  5.,4 020,9  5,.3  84,33 10,20.6,
30,90,45,68.0,,63.6,0,.00 H,2,40  6.,0 220,17  4,.8 200,41 10,22.7,
